C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
Capricorn Food Products India Limited, Food Products Term Loan Facilities CRISIL BBB Stable,Proposed Working Capital Facility CRISIL BBB Stable,Cash Credit Limit CRISIL BBB Stable,Stand by Line of Credit CRISIL BBB Stable,Letter of Credit Limit CRISIL A3+,,,,,,,,,,
Capricorn Ispat Udyog Private Limited, Metals & Mining Long Term Bank Loan #,Cash Credit Limit #,Letter of Credit and Bank Guarantee #,,,,,,,,,,,,
Capricorn Oils Limited, Food Products Cash Credit Limit #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,,
Capricorn Plaza Private Limited, Hotels Restaurants & Leisure Long Term Bank Loan #,,,,,,,,,,,,,,
Caps Gold Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,,,,,,,,,,,,,
Captain Polyplast Limited, Machinery Cash Credit Limit #,Bank Guarantee limit #,Letter of Credit Limit #,,,,,,,,,,,,
Captain Tractors Private Limited, Machinery Working Capital Demand Loan #,Proposed Long-Term Bank Facility #,Cash Credit Limit #,Term Loan Facilities #,Letter of Credit Limit #,,,,,,,,,,
Car Planet Enterprises Private Limited, Specialty Retail Inventory Funding CRISIL B Stable,Term Loan Facilities CRISIL B Stable,Cash Credit Limit CRISIL B Stable,,,,,,,,,,,,
Carbon Edge Industries Limited, Oil Gas & Consumable Fuels Term Loan Facilities #,,,,,,,,,,,,,,
Carbon Resources Private Limited, Machinery Term Loan Facilities #,Cash Credit Limit #,Proposed Long-Term Bank Facility #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,,
Carborundum Universal Limited, Industrial Conglomerates Non Convertible Debenture CRISIL AA+ Stable,Proposed Term Loan CRISIL AA+ Stable,Cash Credit Limit CRISIL AA+ Stable,Bank Guarantee limit CRISIL A1+,Short Term Debt CRISIL A1+,,,,,,,,,,
Card Pro Solutions Private Limited, Commercial Services & Supplies Proposed Long-Term Bank Facility #,Term Loan Facilities #,Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
Cardio Fitness India Private Limited, Health Care Equipment & Supplies Term Loan Facilities CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Cash Credit Limit CRISIL BB Stable,Foreign Exchange Forwards CRISIL A4+,Letter of Credit Limit CRISIL A4+,,,,,,,,,,
Care Corupack Limited, Containers & Packaging Cash Credit Limit #,Proposed Long-Term Bank Facility #,Term Loan Facilities #,,,,,,,,,,,,
Care Office Equipment Limited, Specialty Retail Cash Credit Limit CRISIL BBB- Negative,Proposed Long-Term Bank Facility CRISIL BBB- Negative,Bank Guarantee limit CRISIL A3,,,,,,,,,,,,
Career Coaching (Alld) Private Limited, Diversified Consumer Services Term Loan Facilities CRISIL D,,,,,,,,,,,,,,
